OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.19,10.1.0.131,0,14,10.1.0.19,10.1.0.131,0,213.234,-1,0
10.1.0.5,10.1.0.60,0,140,10.1.0.5,10.1.0.60,0,213.255,-1,0
10.1.1.56,10.1.0.1,0,19,10.1.1.56,10.1.0.1,5,213.31,213.58,1
10.1.0.18,10.1.1.66,0,18,10.1.0.18,10.1.1.66,1,213.353,213.385,1
10.1.0.148,10.1.0.152,0,27,10.1.0.148,10.1.0.152,0,213.354,-1,0
10.1.1.221,10.1.0.168,19,23,10.1.1.221,10.1.0.168,0,213.371,-1,0
10.1.1.45,10.1.0.14,0,19,10.1.1.45,10.1.0.14,0,213.586,-1,0
10.1.0.8,10.1.0.245,0,28,10.1.0.8,10.1.0.245,0,213.611,-1,0
10.1.0.5,10.1.0.149,0,141,10.1.0.5,10.1.0.149,0,213.625,-1,0
10.1.1.213,10.1.1.202,0,16,10.1.1.213,10.1.1.202,1,213.626,224.378,1
10.1.0.7,10.1.0.172,0,25,10.1.0.7,10.1.0.172,0,213.634,-1,0
10.1.1.33,10.1.1.146,0,10,10.1.1.33,10.1.1.146,0,213.64,-1,0
10.1.0.241,10.1.0.172,0,24,10.1.0.241,10.1.0.172,0,213.683,-1,0
10.1.0.33,10.1.0.221,23,30,10.1.0.33,10.1.0.221,16,213.688,214.534,1
10.1.0.172,10.1.0.227,0,29,10.1.0.172,10.1.0.227,0,213.705,213.935,1
10.1.0.2,10.1.0.40,20,198,10.1.0.2,10.1.0.40,0,213.71,-1,0
10.1.1.111,10.1.0.246,0,21,10.1.1.111,10.1.0.246,1,213.716,214.538,1
10.1.0.120,10.1.1.219,0,8,10.1.0.120,10.1.1.219,0,213.722,-1,0
10.1.0.142,10.1.0.91,0,9,10.1.0.142,10.1.0.91,0,213.74,-1,0
10.1.0.93,10.1.1.117,0,12,10.1.0.93,10.1.1.117,0,213.761,-1,0
10.1.0.123,10.1.0.23,0,17,10.1.0.123,10.1.0.23,3,213.78,214.47,1
10.1.0.27,10.1.0.56,0,27,10.1.0.27,10.1.0.56,1,213.919,214.074,1
10.1.0.182,10.1.0.60,0,16,10.1.0.182,10.1.0.60,22,213.927,215.414,1
10.1.0.190,10.1.0.53,0,28,10.1.0.190,10.1.0.53,0,213.929,-1,0
10.1.1.45,10.1.0.14,0,20,10.1.1.45,10.1.0.14,0,213.99,-1,0
10.1.1.49,10.1.0.33,0,22,10.1.1.49,10.1.0.33,4,214.002,216.704,1
10.1.0.1,10.1.1.142,0,138,10.1.0.1,10.1.1.142,6,214.032,214.359,1
10.1.1.106,10.1.0.23,0,22,10.1.1.106,10.1.0.23,1,214.037,214.321,1
10.1.0.25,10.1.1.142,0,26,10.1.0.25,10.1.1.142,6,214.039,214.676,1
10.1.0.116,10.1.1.142,0,20,10.1.0.116,10.1.1.142,4,214.06,214.309,1
10.1.0.250,10.1.1.235,0,18,10.1.0.250,10.1.1.235,0,214.085,214.263,1
10.1.1.57,10.1.0.110,0,24,10.1.1.57,10.1.0.110,0,214.12,-1,0
10.1.0.120,10.1.1.219,0,9,10.1.0.120,10.1.1.219,0,214.122,-1,0
10.1.1.63,10.1.0.149,0,10,10.1.1.63,10.1.0.149,0,214.128,-1,0
10.1.0.123,10.1.0.23,0,18,10.1.0.123,10.1.0.23,0,214.179,-1,0
10.1.1.244,10.1.1.233,0,11,10.1.1.244,10.1.1.233,0,214.182,-1,0
10.1.0.180,10.1.0.176,0,13,10.1.0.180,10.1.0.176,0,214.198,-1,0
10.1.1.182,10.1.0.213,0,26,10.1.1.182,10.1.0.213,0,214.221,236.234,1
10.1.0.118,10.1.1.173,0,34,10.1.0.118,10.1.1.173,0,214.263,-1,0
10.1.0.190,10.1.0.53,0,29,10.1.0.190,10.1.0.53,0,214.272,-1,0
10.1.0.43,10.1.1.174,0,23,10.1.0.43,10.1.1.174,0,214.272,214.35,1
10.1.1.130,10.1.1.9,0,23,10.1.1.130,10.1.1.9,4,214.272,214.866,1
10.1.0.187,10.1.1.79,0,33,10.1.0.187,10.1.1.79,0,214.292,-1,0
10.1.0.182,10.1.0.60,0,17,10.1.0.182,10.1.0.60,0,214.326,-1,0
10.1.1.159,10.1.0.1,0,26,10.1.1.159,10.1.0.1,1,214.351,251.238,1
10.1.1.144,10.1.0.113,0,10,10.1.1.144,10.1.0.113,5,214.352,214.45,1
10.1.1.75,10.1.0.25,26,9,10.1.1.75,10.1.0.25,5,214.39,224.254,1
10.1.1.71,10.1.1.56,0,13,10.1.1.71,10.1.1.56,4,214.393,217.893,1
10.1.1.125,10.1.0.225,0,23,10.1.1.125,10.1.0.225,2,214.395,214.968,1
10.1.0.229,10.1.0.103,0,16,10.1.0.229,10.1.0.103,0,214.414,214.69,1
10.1.0.4,10.1.1.165,0,141,10.1.0.4,10.1.1.165,0,214.422,-1,0
10.1.0.81,10.1.1.30,0,11,10.1.0.81,10.1.1.30,0,214.444,-1,0
10.1.0.81,10.1.0.172,0,12,10.1.0.81,10.1.0.172,1,214.455,214.486,1
10.1.1.63,10.1.0.149,0,11,10.1.1.63,10.1.0.149,0,214.527,-1,0
10.1.1.244,10.1.1.233,0,12,10.1.1.244,10.1.1.233,0,214.584,-1,0
10.1.0.206,10.1.0.118,0,17,10.1.0.206,10.1.0.118,0,214.584,-1,0
10.1.0.229,10.1.1.195,0,17,10.1.0.229,10.1.1.195,2,214.584,215.433,1
10.1.1.27,10.1.0.43,23,23,10.1.1.27,10.1.0.43,0,214.586,-1,0
10.1.0.16,10.1.0.103,0,7,10.1.0.16,10.1.0.103,1,214.595,215.434,1
10.1.1.239,10.1.0.176,0,22,10.1.1.239,10.1.0.176,0,214.595,-1,0
10.1.0.2,10.1.0.40,20,199,10.1.0.2,10.1.0.40,0,214.61,-1,0
10.1.0.187,10.1.1.79,0,34,10.1.0.187,10.1.1.79,0,214.683,-1,0
10.1.0.120,10.1.1.219,0,10,10.1.0.120,10.1.1.219,0,214.684,-1,0
10.1.1.56,10.1.1.75,0,20,10.1.1.56,10.1.1.75,0,214.685,-1,0
10.1.1.68,10.1.0.34,0,15,10.1.1.68,10.1.0.34,1,214.71,214.966,1
10.1.1.81,10.1.1.168,0,21,10.1.1.81,10.1.1.168,5,214.713,218.233,1
