OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.39,10.1.1.27,13,26,10.1.1.39,10.1.1.27,0,234.134,-1,0
10.1.1.67,10.1.1.13,18,20,10.1.1.67,10.1.1.13,1,234.142,234.175,1
10.1.1.67,10.1.1.65,26,21,10.1.1.67,10.1.1.65,3,234.168,240.2,1
10.1.1.67,10.1.1.32,10,22,10.1.1.67,10.1.1.32,0,234.17,-1,0
10.1.1.39,10.1.1.40,11,27,10.1.1.39,10.1.1.40,0,234.202,-1,0
10.1.1.5,10.1.1.98,1,91,10.1.1.5,10.1.1.98,0,234.31,-1,0
10.1.1.6,10.1.1.87,0,57,10.1.1.6,10.1.1.87,0,234.342,-1,0
10.1.1.3,10.1.1.57,0,119,10.1.1.3,10.1.1.57,0,234.402,-1,0
10.1.1.5,10.1.1.98,1,92,10.1.1.5,10.1.1.98,0,234.81,-1,0
10.1.1.6,10.1.1.87,0,58,10.1.1.6,10.1.1.87,0,234.904,-1,0
10.1.1.3,10.1.1.57,0,120,10.1.1.3,10.1.1.57,0,234.966,-1,0
10.1.1.2,10.1.1.91,12,148,10.1.1.2,10.1.1.91,0,235.01,-1,0
10.1.1.5,10.1.1.98,1,93,10.1.1.5,10.1.1.98,0,235.11,-1,0
10.1.1.33,10.1.1.30,2,3,10.1.1.33,10.1.1.30,0,235.167,-1,0
10.1.1.5,10.1.1.98,1,94,10.1.1.5,10.1.1.98,0,235.405,-1,0
10.1.1.6,10.1.1.87,0,59,10.1.1.6,10.1.1.87,0,235.625,-1,0
10.1.1.3,10.1.1.57,0,121,10.1.1.3,10.1.1.57,0,235.689,-1,0
10.1.1.5,10.1.1.100,0,95,10.1.1.5,10.1.1.100,0,236.434,-1,0
10.1.1.5,10.1.1.98,1,96,10.1.1.5,10.1.1.98,0,237.005,-1,0
10.1.1.3,10.1.1.47,18,122,10.1.1.3,10.1.1.47,6,237.009,297.583,1
10.1.1.3,10.1.1.4,96,123,10.1.1.3,10.1.1.4,0,237.012,-1,0
10.1.1.3,10.1.1.35,5,124,10.1.1.3,10.1.1.35,0,237.021,-1,0
10.1.1.3,10.1.1.71,18,125,10.1.1.3,10.1.1.71,0,237.06,237.092,1
10.1.1.2,10.1.1.91,12,149,10.1.1.2,10.1.1.91,0,237.3,-1,0
10.1.1.5,10.1.1.98,1,97,10.1.1.5,10.1.1.98,0,237.31,-1,0
