OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.101,10.1.0.227,0,3,10.1.1.101,10.1.0.227,3,142.685,142.757,1
10.1.0.212,10.1.1.63,0,19,10.1.0.212,10.1.1.63,0,142.734,-1,0
10.1.1.164,10.1.1.131,0,12,10.1.1.164,10.1.1.131,0,142.736,-1,0
10.1.1.141,10.1.1.200,0,13,10.1.1.141,10.1.1.200,4,142.752,143.324,1
10.1.0.88,10.1.0.211,18,19,10.1.0.88,10.1.0.211,0,142.756,-1,0
10.1.0.64,10.1.0.88,0,14,10.1.0.64,10.1.0.88,3,142.767,143.77,1
10.1.0.88,10.1.0.243,20,20,10.1.0.88,10.1.0.243,5,142.787,143.076,1
10.1.0.3,10.1.1.100,12,99,10.1.0.3,10.1.1.100,0,142.802,-1,0
10.1.1.161,10.1.0.225,0,19,10.1.1.161,10.1.0.225,0,142.851,-1,0
10.1.1.207,10.1.0.6,0,11,10.1.1.207,10.1.0.6,0,142.859,-1,0
10.1.0.243,10.1.1.31,0,21,10.1.0.243,10.1.1.31,5,142.864,284.232,1
10.1.0.69,10.1.0.88,19,17,10.1.0.69,10.1.0.88,7,142.887,144.014,1
10.1.0.4,10.1.1.165,5,102,10.1.0.4,10.1.1.165,0,142.905,-1,0
10.1.0.126,10.1.0.35,0,15,10.1.0.126,10.1.0.35,2,142.929,283.759,1
10.1.1.178,10.1.0.241,0,8,10.1.1.178,10.1.0.241,4,142.932,143.071,1
10.1.1.49,10.1.0.107,0,32,10.1.1.49,10.1.0.107,0,143.012,-1,0
10.1.1.219,10.1.1.116,0,11,10.1.1.219,10.1.1.116,1,143.016,266.496,1
10.1.0.165,10.1.0.45,7,6,10.1.0.165,10.1.0.45,0,143.023,-1,0
10.1.1.35,10.1.1.134,0,13,10.1.1.35,10.1.1.134,4,143.027,145.259,1
10.1.1.211,10.1.0.171,0,12,10.1.1.211,10.1.0.171,0,143.072,143.395,1
10.1.0.111,10.1.0.183,0,26,10.1.0.111,10.1.0.183,7,143.097,145.855,1
10.1.1.202,10.1.0.124,0,7,10.1.1.202,10.1.0.124,0,143.109,143.124,1
10.1.1.19,10.1.0.76,0,13,10.1.1.19,10.1.0.76,4,143.133,143.541,1
10.1.1.167,10.1.1.49,31,17,10.1.1.167,10.1.1.49,5,143.159,144.411,1
10.1.1.193,10.1.1.111,0,7,10.1.1.193,10.1.1.111,4,143.17,231.701,1
10.1.1.212,10.1.0.14,0,13,10.1.1.212,10.1.0.14,0,143.19,-1,0
