OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.5,10.1.1.62,0,6,10.1.1.5,10.1.1.62,0,9.304,-1,0
10.1.1.49,10.1.1.78,0,1,10.1.1.49,10.1.1.78,2,9.30787,148.855,1
10.1.1.130,10.1.1.156,0,1,10.1.1.130,10.1.1.156,0,9.32251,135.054,1
10.1.1.185,10.1.1.158,0,6,10.1.1.185,10.1.1.158,0,9.42425,9.43008,1
10.1.1.185,10.1.1.148,0,7,10.1.1.185,10.1.1.148,0,9.43056,9.45962,1
10.1.1.17,10.1.1.11,0,1,10.1.1.17,10.1.1.11,4,9.44058,316.328,1
10.1.1.60,10.1.1.26,0,1,10.1.1.60,10.1.1.26,4,9.4765,11.4856,1
10.1.1.104,10.1.1.68,1,1,10.1.1.104,10.1.1.68,4,9.49935,11.8945,1
10.1.1.144,10.1.1.64,0,1,10.1.1.144,10.1.1.64,0,9.55311,99.5141,1
10.1.1.1,10.1.1.112,0,13,10.1.1.1,10.1.1.112,0,9.603,-1,0
10.1.1.6,10.1.1.28,0,6,10.1.1.6,10.1.1.28,0,9.721,-1,0
10.1.1.198,10.1.1.77,0,1,10.1.1.198,10.1.1.77,4,9.80576,155.088,1
10.1.1.21,10.1.1.168,0,1,10.1.1.21,10.1.1.168,5,9.82292,136.889,1
10.1.1.6,10.1.1.28,0,7,10.1.1.6,10.1.1.28,0,10.11,-1,0
10.1.1.5,10.1.1.62,0,7,10.1.1.5,10.1.1.62,0,10.262,-1,0
10.1.1.86,10.1.1.19,0,1,10.1.1.86,10.1.1.19,6,10.4674,216.942,1
10.1.1.185,10.1.1.28,0,8,10.1.1.185,10.1.1.28,3,10.4834,12.362,1
10.1.1.196,10.1.1.106,0,1,10.1.1.196,10.1.1.106,1,10.4854,10.5476,1
10.1.1.101,10.1.1.125,0,2,10.1.1.101,10.1.1.125,3,10.5092,229.717,1
10.1.1.94,10.1.1.167,0,1,10.1.1.94,10.1.1.167,0,10.5251,10.534,1
10.1.1.94,10.1.1.179,0,2,10.1.1.94,10.1.1.179,4,10.5401,26.4918,1
10.1.1.5,10.1.1.62,0,8,10.1.1.5,10.1.1.62,0,10.61,-1,0
10.1.1.151,10.1.1.18,0,1,10.1.1.151,10.1.1.18,5,10.6292,317.111,1
10.1.1.48,10.1.1.162,0,1,10.1.1.48,10.1.1.162,2,10.8714,262.446,1
10.1.1.33,10.1.1.183,3,2,10.1.1.33,10.1.1.183,3,11.0403,186.729,1
10.1.1.138,10.1.1.18,0,1,10.1.1.138,10.1.1.18,2,11.1199,253.451,1
10.1.1.139,10.1.1.199,0,1,10.1.1.139,10.1.1.199,5,11.1337,35.4399,1
10.1.1.126,10.1.1.143,0,1,10.1.1.126,10.1.1.143,4,11.1416,318.402,1
10.1.1.108,10.1.1.105,0,1,10.1.1.108,10.1.1.105,3,11.1456,244.61,1
10.1.1.119,10.1.1.48,1,3,10.1.1.119,10.1.1.48,4,11.1582,180.385,1
10.1.1.174,10.1.1.37,0,1,10.1.1.174,10.1.1.37,1,11.164,234.711,1
10.1.1.103,10.1.1.89,0,1,10.1.1.103,10.1.1.89,5,11.1877,294.704,1
10.1.1.3,10.1.1.143,0,7,10.1.1.3,10.1.1.143,0,11.207,-1,0
10.1.1.6,10.1.1.28,0,8,10.1.1.6,10.1.1.28,0,11.22,-1,0
10.1.1.5,10.1.1.62,0,9,10.1.1.5,10.1.1.62,0,11.326,-1,0
10.1.1.185,10.1.1.91,0,9,10.1.1.185,10.1.1.91,2,11.409,100.85,1
10.1.1.94,10.1.1.63,0,3,10.1.1.94,10.1.1.63,0,11.427,159.251,1
10.1.1.139,10.1.1.199,0,2,10.1.1.139,10.1.1.199,0,11.5287,-1,0
10.1.1.149,10.1.1.104,0,1,10.1.1.149,10.1.1.104,3,11.5772,13.0959,1
10.1.1.68,10.1.1.11,0,2,10.1.1.68,10.1.1.11,1,11.5964,297.179,1
10.1.1.48,10.1.1.146,0,2,10.1.1.48,10.1.1.146,5,11.6101,12.687,1
10.1.1.157,10.1.1.172,0,1,10.1.1.157,10.1.1.172,1,11.6244,172.582,1
10.1.1.19,10.1.1.146,0,3,10.1.1.19,10.1.1.146,3,11.6512,319.987,1
10.1.1.1,10.1.1.146,0,14,10.1.1.1,10.1.1.146,0,11.6965,-1,0
10.1.1.160,10.1.1.146,0,2,10.1.1.160,10.1.1.146,0,11.7342,-1,0
10.1.1.104,10.1.1.19,3,2,10.1.1.104,10.1.1.19,5,11.7361,14.4356,1
10.1.1.80,10.1.1.11,0,2,10.1.1.80,10.1.1.11,4,11.7907,159.66,1
10.1.1.169,10.1.1.104,2,2,10.1.1.169,10.1.1.104,5,11.8091,11.9095,1
10.1.1.139,10.1.1.44,0,3,10.1.1.139,10.1.1.44,2,11.82,271.502,1
10.1.1.8,10.1.1.85,0,1,10.1.1.8,10.1.1.85,4,11.877,264.967,1
10.1.1.103,10.1.1.19,3,2,10.1.1.103,10.1.1.19,4,11.8825,13.4357,1
10.1.1.6,10.1.1.28,0,9,10.1.1.6,10.1.1.28,0,11.909,-1,0
10.1.1.68,10.1.1.145,0,3,10.1.1.68,10.1.1.145,3,11.9218,258.009,1
10.1.1.37,10.1.1.28,0,1,10.1.1.37,10.1.1.28,1,11.9337,13.2597,1
10.1.1.113,10.1.1.166,0,1,10.1.1.113,10.1.1.166,5,11.9438,287.748,1
